year,journal,baseline_if,filtered_rif,weighted_rif,stability_threshold,model
2018,Eurosurveillance,3.5882,2.902,3.292,1.0,node2vec
2018,Fertility and Sterility,0.6951,0.2317,0.4418,1.0,node2vec
2018,Food & Function,0.5,0.1875,0.3025,1.0,node2vec
2018,Food Chemistry,0.5355,0.0984,0.3173,1.0,node2vec
2018,Food Research International,0.5,0.1154,0.2487,1.0,node2vec
2018,Foot & Ankle International,0.35,0.1,0.1471,1.0,node2vec
2018,Free Radical Biology and Medicine,0.4865,0.2162,0.4278,1.0,node2vec
2018,Frontiers in Aging Neuroscience,0.64,0.32,0.4241,1.0,node2vec
2018,Frontiers in Immunology,0.0816,0.0612,0.076,1.0,node2vec
2018,Frontiers in Microbiology,0.2295,0.1148,0.187,1.0,node2vec
2018,Frontiers in Neuroscience,0.1905,0.0952,0.131,1.0,node2vec
2018,Frontiers in Pharmacology,0.3514,0.2162,0.2976,1.0,node2vec
2018,Frontiers in Physiology,0.3023,0.2791,0.2791,1.0,node2vec
2018,Gastric Cancer,0.8333,0.1333,0.5551,1.0,node2vec
2018,Gastroenterology,1.4595,0.6108,1.0921,1.0,node2vec
2018,Gastrointestinal Endoscopy,0.5921,0.1974,0.3732,1.0,node2vec
2018,Genetics in Medicine,1.48,0.52,0.9914,1.0,node2vec
2018,Gut,1.3551,0.5145,0.8763,1.0,node2vec
2018,Gynecologic Oncology,0.8261,0.2029,0.4816,1.0,node2vec
2018,HPB,0.5417,0.375,0.503,1.0,node2vec
2018,Haematologica,0.6716,0.1642,0.4264,1.0,node2vec
2018,Health Affairs,2.1212,0.9091,1.545,1.0,node2vec
2018,Health and Quality of Life Outcomes,0.1786,0.0,0.0268,1.0,node2vec
2018,Heart,0.8302,0.434,0.6301,1.0,node2vec
2018,Heart Rhythm,0.8929,0.5357,0.7182,1.0,node2vec
2018,Hepatology,1.1121,0.472,0.8262,1.0,node2vec
2018,Human Brain Mapping,0.881,0.3095,0.5665,1.0,node2vec
2018,Human Molecular Genetics,0.5962,0.3077,0.4907,1.0,node2vec
2018,Human Reproduction,0.9672,0.2623,0.5877,1.0,node2vec
2018,Hypertension,0.6,0.1882,0.3876,1.0,node2vec
2018,IEEE Journal of Biomedical and Health Informatics,0.44,0.12,0.2857,1.0,node2vec
2018,IEEE Transactions on Biomedical Engineering,0.5897,0.2821,0.4232,1.0,node2vec
2018,IEEE Transactions on Medical Imaging,3.4182,1.2545,2.4375,1.0,node2vec
2018,Immunity,2.2273,0.4318,1.002,1.0,node2vec
2018,Industrial Crops and Products,0.6129,0.129,0.4214,1.0,node2vec
2018,Injury,0.2759,0.1724,0.2431,1.0,node2vec
2018,Intensive Care Medicine,0.9324,0.6351,0.8131,1.0,node2vec
2018,International Immunopharmacology,0.2,0.05,0.05,1.0,node2vec
2018,International Journal of Behavioral Nutrition and Physical Activity,0.8909,0.3636,0.6481,1.0,node2vec
2018,International Journal of Biological Macromolecules,0.1538,0.1026,0.1266,1.0,node2vec
2018,International Journal of Cancer,0.68,0.1467,0.4413,1.0,node2vec
2018,International Journal of Cardiology,0.6667,0.2576,0.4803,1.0,node2vec
2018,International Journal of Drug Policy,1.4,1.12,1.2437,1.0,node2vec
2018,International Journal of Environmental Research and Public Health,0.0606,0.0303,0.0455,1.0,node2vec
2018,International Journal of Epidemiology,0.5116,0.0698,0.2547,1.0,node2vec
2018,International Journal of Molecular Sciences,0.26,0.08,0.1323,1.0,node2vec
2018,International Journal of Nanomedicine,0.1,0.0,0.0412,1.0,node2vec
2018,International Journal of Obesity,0.6136,0.1364,0.3901,1.0,node2vec
2018,International Journal of Pharmaceutics,0.3182,0.0455,0.141,1.0,node2vec
2018,International Journal of Radiation Oncology*Biology*Physics,0.6702,0.1915,0.4458,1.0,node2vec
2018,International Journal of Sports Physiology and Performance,1.1707,0.5854,0.8795,1.0,node2vec
2018,International Journal of Stroke,1.6538,0.9615,1.3526,1.0,node2vec
2018,Investigative Ophthalmology & Visual Science,1.8618,1.3252,1.6336,1.0,node2vec
2018,JACC Heart Failure,0.973,0.2432,0.58,1.0,node2vec
2018,JACC. Cardiovascular imaging,0.6129,0.2581,0.4086,1.0,node2vec
2018,JACC: Cardiovascular Interventions,0.8224,0.4673,0.67,1.0,node2vec
2018,JAIDS Journal of Acquired Immune Deficiency Syndromes,1.875,0.925,1.5863,1.0,node2vec
2018,JAMA,2.9617,1.0319,2.0014,1.0,node2vec
2018,JAMA Cardiology,1.1633,0.4592,0.8736,1.0,node2vec
2018,JAMA Dermatology,0.587,0.2174,0.3805,1.0,node2vec
2018,JAMA Internal Medicine,1.7928,0.4865,1.1506,1.0,node2vec
2018,JAMA Neurology,1.1774,0.5,0.8332,1.0,node2vec
2018,JAMA Oncology,1.6403,0.6619,1.1851,1.0,node2vec
2018,JAMA Ophthalmology,2.1194,1.3433,1.7394,1.0,node2vec
2018,JAMA Pediatrics,1.0118,0.4353,0.7158,1.0,node2vec
2018,JAMA Psychiatry,1.4242,0.6212,1.0419,1.0,node2vec
2018,JAMA Surgery,0.8,0.325,0.5763,1.0,node2vec
2018,JCI Insight,0.7542,0.4661,0.6106,1.0,node2vec
2018,JMIR mhealth and uhealth,0.6154,0.2692,0.4428,1.0,node2vec
2018,JNCI Journal of the National Cancer Institute,1.1408,0.3662,0.7222,1.0,node2vec
2018,Journal for ImmunoTherapy of Cancer,1.3871,0.8065,1.1482,1.0,node2vec
2018,Journal of Affective Disorders,0.6087,0.1957,0.4334,1.0,node2vec
2018,Journal of Agricultural and Food Chemistry,0.5106,0.0851,0.2676,1.0,node2vec
2018,Journal of Allergy and Clinical Immunology,0.881,0.3651,0.6088,1.0,node2vec
2018,Journal of Alzheimer s Disease,0.6087,0.2609,0.4232,1.0,node2vec
2018,Journal of Antimicrobial Chemotherapy,0.9459,0.6757,0.8,1.0,node2vec
2018,Journal of Applied Physiology,0.95,0.5,0.8254,1.0,node2vec
2018,Journal of Biological Chemistry,0.6526,0.1895,0.4273,1.0,node2vec
2018,Journal of Biomechanics,0.2174,0.0,0.1059,1.0,node2vec
2018,Journal of Bone and Joint Surgery,0.4746,0.1864,0.3261,1.0,node2vec
2018,Journal of Bone and Mineral Research,0.9138,0.4655,0.7637,1.0,node2vec
2018,Journal of Cachexia Sarcopenia and Muscle,1.0233,0.186,0.5717,1.0,node2vec
2018,Journal of Cataract & Refractive Surgery,0.8148,0.2593,0.5834,1.0,node2vec
2018,Journal of Cellular and Molecular Medicine,0.4583,0.125,0.3054,1.0,node2vec
2018,Journal of Cerebral Blood Flow & Metabolism,0.8571,0.2143,0.4385,1.0,node2vec
2018,Journal of Clinical Investigation,1.6242,0.4459,0.953,1.0,node2vec
2018,Journal of Clinical Microbiology,0.6957,0.3696,0.5402,1.0,node2vec
2018,Journal of Clinical Oncology,2.0063,0.6849,1.3075,1.0,node2vec
2018,Journal of Controlled Release,0.3939,0.1212,0.2431,1.0,node2vec
2018,Journal of Critical Care,0.15,0.05,0.05,1.0,node2vec
2018,Journal of Ethnopharmacology,0.1429,0.0,0.0817,1.0,node2vec
2018,Journal of Functional Foods,0.6774,0.129,0.3301,1.0,node2vec
2018,Journal of Gastroenterology and Hepatology,0.75,0.2,0.519,1.0,node2vec
2018,Journal of General Internal Medicine,0.4783,0.2609,0.3697,1.0,node2vec
2018,Journal of Hematology & Oncology,0.6522,0.2174,0.5086,1.0,node2vec
2018,Journal of Hepatology,2.311,1.3354,1.8362,1.0,node2vec
2018,Journal of Hypertension,0.5455,0.0909,0.306,1.0,node2vec
2018,Journal of Investigative Dermatology,0.7143,0.1746,0.4562,1.0,node2vec
2018,Journal of Magnetic Resonance Imaging,1.0333,0.5333,0.8245,1.0,node2vec
2018,Journal of Medical Internet Research,0.4419,0.1163,0.27,1.0,node2vec
2018,Journal of Medicinal Chemistry,0.6562,0.3438,0.4744,1.0,node2vec
2018,Journal of Neuro-Oncology,0.2941,0.1765,0.2559,1.0,node2vec
2018,Journal of NeuroInterventional Surgery,1.2759,0.6207,1.02,1.0,node2vec
2018,Journal of Neuroinflammation,1.0154,0.6462,0.8276,1.0,node2vec
2018,Journal of Neurology,0.8214,0.7143,0.8058,1.0,node2vec
2018,Journal of Neurology Neurosurgery & Psychiatry,0.7778,0.3889,0.5789,1.0,node2vec
2018,Journal of Neuroscience,0.8257,0.3486,0.6447,1.0,node2vec
2018,Journal of Neurosurgery Spine,0.4103,0.1026,0.2272,1.0,node2vec
2018,Journal of Neurotrauma,0.7674,0.2326,0.41,1.0,node2vec
2018,Journal of Nuclear Medicine,2.1429,1.479,1.8725,1.0,node2vec
2018,Journal of Nutrition,1.1538,0.3077,0.7309,1.0,node2vec
2018,Journal of Orthopaedic and Sports Physical Therapy,0.75,0.4,0.5131,1.0,node2vec
2018,Journal of Pain,1.2121,0.3636,0.5307,1.0,node2vec
2018,Journal of Pain and Symptom Management,0.4074,0.3333,0.3791,1.0,node2vec
2018,Journal of Pediatric Gastroenterology and Nutrition,0.1818,0.0909,0.1189,1.0,node2vec
